"emp_no","title","from_date","to_date"
247817,"Senior Engineer","1995-01-03","9999-01-01"
247818,"Senior Engineer","1989-06-07","9999-01-01"
247819,"Engineer","1990-02-13","1999-02-13"
247819,"Senior Engineer","1999-02-13","9999-01-01"
247820,"Staff","1997-09-29","9999-01-01"
247821,"Senior Staff","2002-04-11","9999-01-01"
247821,"Staff","1993-04-11","2002-04-11"
247822,"Staff","1985-09-14","1989-04-14"
247823,"Senior Staff","1990-09-07","9999-01-01"
247824,"Engineer","1998-11-13","2000-05-22"
247825,"Senior Staff","1993-04-10","9999-01-01"
247826,"Senior Staff","1986-09-16","9999-01-01"
247827,"Senior Staff","2001-03-17","9999-01-01"
247827,"Staff","1994-03-17","2001-03-17"
247828,"Senior Staff","1985-07-15","9999-01-01"
247829,"Engineer","1994-01-27","9999-01-01"
247830,"Senior Engineer","1988-11-21","9999-01-01"
247831,"Senior Engineer","1992-09-06","1996-07-03"
247832,"Senior Staff","1996-09-16","9999-01-01"
247833,"Senior Engineer","1986-07-31","9999-01-01"
247834,"Senior Staff","1994-12-28","9999-01-01"
247834,"Staff","1986-12-28","1994-12-28"
247835,"Engineer","1989-04-10","1998-04-10"
247835,"Senior Engineer","1998-04-10","9999-01-01"
247836,"Staff","1993-04-15","1993-08-24"
247837,"Engineer","1997-10-01","9999-01-01"
247838,"Staff","1990-03-26","1998-01-05"
247839,"Technique Leader","1985-05-27","9999-01-01"
247840,"Senior Staff","1995-01-04","9999-01-01"
247840,"Staff","1987-01-04","1995-01-04"
247841,"Staff","1997-06-18","2001-11-27"
247842,"Senior Engineer","1992-05-22","9999-01-01"
247843,"Staff","1990-09-17","1993-06-27"
247844,"Engineer","1996-11-22","9999-01-01"
247845,"Senior Staff","1998-02-11","9999-01-01"
247845,"Staff","1990-02-11","1998-02-11"
247846,"Senior Engineer","1990-02-03","9999-01-01"
247847,"Senior Staff","1996-12-13","9999-01-01"
247847,"Staff","1990-12-14","1996-12-13"
247848,"Senior Staff","1994-02-12","9999-01-01"
247849,"Engineer","1997-03-09","9999-01-01"
247850,"Senior Staff","1990-03-16","1993-11-09"
247851,"Assistant Engineer","1999-04-22","9999-01-01"
247852,"Senior Staff","2000-07-14","9999-01-01"
247852,"Staff","1991-07-15","2000-07-14"
247853,"Assistant Engineer","1985-08-17","1992-08-17"
247853,"Engineer","1992-08-17","1999-08-18"
247853,"Senior Engineer","1999-08-18","9999-01-01"
247854,"Engineer","1990-02-17","1992-07-19"
247855,"Senior Staff","1993-03-07","9999-01-01"
247855,"Staff","1987-03-08","1993-03-07"
247856,"Senior Staff","1995-04-15","9999-01-01"
247856,"Staff","1988-04-14","1995-04-15"
247857,"Technique Leader","1993-02-11","9999-01-01"
247858,"Engineer","1989-01-19","1995-01-19"
247858,"Senior Engineer","1995-01-19","9999-01-01"
247859,"Senior Engineer","1991-05-20","9999-01-01"
247860,"Senior Staff","1988-01-24","9999-01-01"
247861,"Engineer","1995-05-19","2002-05-19"
247861,"Senior Engineer","2002-05-19","9999-01-01"
247862,"Engineer","1998-12-12","1999-05-31"
247863,"Engineer","1985-05-18","1990-05-18"
247863,"Senior Engineer","1990-05-18","9999-01-01"
247864,"Engineer","1986-09-12","1995-09-12"
247864,"Senior Engineer","1995-09-12","9999-01-01"
247865,"Engineer","1987-03-22","1995-03-22"
247865,"Senior Engineer","1995-03-22","9999-01-01"
247866,"Senior Engineer","1996-04-27","9999-01-01"
247867,"Assistant Engineer","1988-07-02","1991-10-11"
247868,"Senior Staff","1995-07-30","9999-01-01"
247868,"Staff","1990-07-30","1995-07-30"
247869,"Senior Staff","2001-04-02","9999-01-01"
247869,"Staff","1993-04-02","2001-04-02"
247870,"Technique Leader","1999-01-23","9999-01-01"
247871,"Staff","1993-02-17","1998-10-07"
247872,"Senior Staff","1992-06-05","9999-01-01"
247872,"Staff","1987-06-06","1992-06-05"
247873,"Senior Staff","1992-04-05","9999-01-01"
247873,"Staff","1986-04-06","1992-04-05"
247874,"Engineer","1992-11-16","1993-01-03"
247875,"Senior Staff","1991-04-23","9999-01-01"
247876,"Engineer","1989-07-28","1998-07-28"
247876,"Senior Engineer","1998-07-28","9999-01-01"
247877,"Senior Staff","2000-09-11","9999-01-01"
247877,"Staff","1995-09-12","2000-09-11"
247878,"Senior Staff","2002-01-03","9999-01-01"
247878,"Staff","1993-01-03","2002-01-03"
247879,"Engineer","1993-09-21","2000-09-21"
247879,"Senior Engineer","2000-09-21","9999-01-01"
247880,"Staff","1997-08-04","9999-01-01"
247881,"Senior Staff","1993-01-04","9999-01-01"
247881,"Staff","1986-01-04","1993-01-04"
247882,"Staff","1994-09-16","9999-01-01"
247883,"Senior Staff","1985-10-15","1998-01-08"
247884,"Engineer","1993-10-31","9999-01-01"
247885,"Senior Staff","1999-06-19","9999-01-01"
247886,"Assistant Engineer","1995-03-02","9999-01-01"
247887,"Senior Staff","1996-04-05","9999-01-01"
247887,"Staff","1987-04-07","1996-04-05"
247888,"Engineer","1985-09-06","1992-09-06"
247888,"Senior Engineer","1992-09-06","9999-01-01"
247889,"Staff","1990-09-04","1994-12-24"
247890,"Assistant Engineer","1995-01-05","9999-01-01"
247891,"Senior Staff","1998-12-30","9999-01-01"
247891,"Staff","1993-12-30","1998-12-30"
247892,"Senior Staff","1998-12-04","2000-08-23"
247892,"Staff","1992-12-04","1998-12-04"
247893,"Senior Staff","1997-03-03","9999-01-01"
247893,"Staff","1990-03-03","1997-03-03"
247894,"Senior Staff","1989-08-26","1996-11-11"
247895,"Senior Staff","2000-06-17","9999-01-01"
247895,"Staff","1992-06-17","2000-06-17"
247896,"Engineer","1996-11-14","1998-03-05"
247897,"Engineer","1997-05-05","9999-01-01"
247898,"Senior Staff","1994-11-24","9999-01-01"
247898,"Staff","1988-11-24","1994-11-24"
247899,"Senior Staff","2002-01-24","9999-01-01"
247899,"Staff","1995-01-24","2002-01-24"
247900,"Senior Engineer","1985-12-14","9999-01-01"
247901,"Senior Staff","1998-07-05","9999-01-01"
247902,"Senior Staff","1998-04-23","9999-01-01"
247903,"Senior Staff","1986-10-04","9999-01-01"
247904,"Technique Leader","1998-11-05","9999-01-01"
247905,"Staff","1999-01-27","2000-03-27"
247906,"Senior Staff","1991-08-31","9999-01-01"
247906,"Staff","1986-08-31","1991-08-31"
247907,"Senior Staff","2001-01-08","9999-01-01"
247907,"Staff","1996-01-09","2001-01-08"
247908,"Engineer","1990-12-24","1995-12-24"
247908,"Senior Engineer","1995-12-24","9999-01-01"
247909,"Senior Staff","1989-08-03","1991-11-28"
247910,"Engineer","1986-09-22","1991-09-22"
247910,"Senior Engineer","1991-09-22","9999-01-01"
247911,"Assistant Engineer","1991-03-06","1997-03-05"
247911,"Engineer","1997-03-05","9999-01-01"
247912,"Engineer","1989-05-06","1996-05-06"
247912,"Senior Engineer","1996-05-06","9999-01-01"
247913,"Technique Leader","1989-01-03","9999-01-01"
247914,"Staff","1985-05-21","1988-08-21"
247915,"Engineer","1995-10-11","9999-01-01"
247916,"Senior Engineer","1998-04-02","9999-01-01"
247917,"Senior Staff","1998-07-29","9999-01-01"
247917,"Staff","1989-07-29","1998-07-29"
247918,"Staff","1999-09-21","9999-01-01"
247919,"Assistant Engineer","1985-02-26","1991-02-26"
247919,"Engineer","1991-02-26","1997-02-25"
247919,"Senior Engineer","1997-02-25","9999-01-01"
247920,"Senior Staff","1991-07-10","9999-01-01"
247920,"Staff","1985-07-10","1991-07-10"
247921,"Engineer","1996-08-02","9999-01-01"
247922,"Staff","1992-03-24","1993-03-15"
247923,"Senior Staff","2002-03-21","9999-01-01"
247923,"Staff","1994-03-21","2002-03-21"
247924,"Senior Engineer","1999-02-11","9999-01-01"
247925,"Staff","1987-09-22","1989-07-30"
247926,"Engineer","1991-10-25","1996-10-24"
247926,"Senior Engineer","1996-10-24","9999-01-01"
247927,"Senior Staff","1993-03-07","9999-01-01"
247927,"Staff","1985-03-07","1993-03-07"
247928,"Engineer","1998-11-05","9999-01-01"
247929,"Technique Leader","1995-10-16","9999-01-01"
247930,"Senior Staff","1993-09-23","9999-01-01"
247930,"Staff","1986-09-23","1993-09-23"
247931,"Senior Staff","1992-05-09","9999-01-01"
247932,"Engineer","1986-04-08","1993-03-23"
247933,"Engineer","1995-06-14","9999-01-01"
247934,"Senior Staff","1991-07-21","9999-01-01"
247935,"Engineer","1994-12-31","2001-12-31"
247935,"Senior Engineer","2001-12-31","9999-01-01"
247936,"Engineer","1998-01-24","2001-10-10"
247937,"Senior Staff","2000-12-12","9999-01-01"
247937,"Staff","1993-12-12","2000-12-12"
247938,"Staff","1997-12-19","9999-01-01"
247939,"Engineer","1992-12-06","2001-12-06"
247939,"Senior Engineer","2001-12-06","9999-01-01"
247940,"Senior Staff","1989-10-08","9999-01-01"
247941,"Engineer","1987-12-25","1992-12-24"
247941,"Senior Engineer","1992-12-24","9999-01-01"
247942,"Engineer","1997-09-13","9999-01-01"
247943,"Senior Engineer","1988-10-12","9999-01-01"
247944,"Engineer","1986-07-07","1992-07-06"
247944,"Senior Engineer","1992-07-06","9999-01-01"
247945,"Engineer","1998-07-08","1999-06-21"
247946,"Senior Staff","1996-05-25","9999-01-01"
247947,"Senior Staff","1999-12-01","9999-01-01"
247948,"Engineer","1991-11-24","2000-11-23"
247948,"Senior Engineer","2000-11-23","9999-01-01"
247949,"Engineer","1997-10-23","9999-01-01"
247950,"Staff","1998-10-21","9999-01-01"
247951,"Staff","1987-05-26","1991-05-01"
247952,"Senior Staff","1998-10-09","9999-01-01"
247952,"Staff","1993-10-09","1998-10-09"
247953,"Staff","1997-12-16","9999-01-01"
247954,"Technique Leader","1993-09-11","9999-01-01"
247955,"Senior Staff","1996-11-03","9999-01-01"
247955,"Staff","1988-11-03","1996-11-03"
247956,"Technique Leader","1987-10-26","9999-01-01"
247957,"Engineer","1987-12-08","1996-12-07"
247957,"Senior Engineer","1996-12-07","9999-01-01"
247958,"Senior Engineer","1986-06-06","1990-08-19"
247959,"Technique Leader","1991-10-12","9999-01-01"
247960,"Engineer","1995-06-25","2001-06-24"
247960,"Senior Engineer","2001-06-24","9999-01-01"
247961,"Senior Staff","1991-07-17","9999-01-01"
247962,"Engineer","1997-12-08","9999-01-01"
247963,"Engineer","1988-10-27","1995-10-28"
247963,"Senior Engineer","1995-10-28","9999-01-01"
247964,"Senior Engineer","1997-08-17","9999-01-01"
247965,"Assistant Engineer","1991-08-17","1999-08-17"
247965,"Engineer","1999-08-17","9999-01-01"
247966,"Assistant Engineer","1986-03-19","1994-03-19"
247966,"Engineer","1994-03-19","2000-12-11"
247967,"Technique Leader","1991-01-05","9999-01-01"
247968,"Senior Staff","1993-10-04","9999-01-01"
247968,"Staff","1988-10-04","1993-10-04"
247969,"Engineer","1986-09-08","1992-09-07"
247969,"Senior Engineer","1992-09-07","9999-01-01"
247970,"Engineer","1999-12-29","9999-01-01"
247971,"Senior Staff","1991-10-31","9999-01-01"
247971,"Staff","1985-10-31","1991-10-31"
247972,"Senior Staff","1994-04-08","9999-01-01"
247972,"Staff","1989-04-08","1994-04-08"
247973,"Engineer","1989-03-22","1995-03-22"
247973,"Senior Engineer","1995-03-22","9999-01-01"
247974,"Senior Engineer","1999-07-20","9999-01-01"
247975,"Engineer","1996-08-04","1999-01-13"
247976,"Senior Staff","1998-07-31","9999-01-01"
247976,"Staff","1989-07-31","1998-07-31"
247977,"Engineer","1991-04-08","1998-04-08"
247977,"Senior Engineer","1998-04-08","9999-01-01"
247978,"Senior Staff","1990-11-13","9999-01-01"
247979,"Engineer","1990-06-26","1999-06-26"
247979,"Senior Engineer","1999-06-26","9999-01-01"
247980,"Engineer","1990-05-05","1998-05-05"
247980,"Senior Engineer","1998-05-05","1998-07-11"
247981,"Technique Leader","1986-03-02","9999-01-01"
247982,"Senior Staff","2000-06-20","9999-01-01"
247982,"Staff","1992-06-20","2000-06-20"
247983,"Staff","1998-01-03","2001-04-13"
247984,"Senior Staff","1999-01-26","9999-01-01"
247984,"Staff","1992-01-26","1999-01-26"
247985,"Engineer","1986-11-24","1991-11-24"
247985,"Senior Engineer","1991-11-24","9999-01-01"
247986,"Staff","1998-06-15","9999-01-01"
247987,"Engineer","1987-06-03","1992-06-02"
247987,"Senior Engineer","1992-06-02","9999-01-01"
247988,"Senior Staff","2001-10-27","9999-01-01"
247988,"Staff","1995-10-28","2001-10-27"
247989,"Senior Staff","2000-04-22","9999-01-01"
247989,"Staff","1995-04-23","2000-04-22"
247990,"Staff","1997-01-12","1997-07-12"
247991,"Senior Engineer","1993-08-12","9999-01-01"
247992,"Engineer","1993-06-30","1998-06-30"
247992,"Senior Engineer","1998-06-30","9999-01-01"
247993,"Senior Engineer","1993-02-24","1998-11-10"
247994,"Senior Staff","1992-11-22","9999-01-01"
247994,"Staff","1985-11-22","1992-11-22"
247995,"Engineer","1997-01-17","9999-01-01"
247996,"Engineer","1987-03-30","1993-03-29"
247996,"Senior Engineer","1993-03-29","2002-03-22"
247997,"Senior Staff","1998-02-28","9999-01-01"
247997,"Staff","1990-02-28","1998-02-28"
247998,"Senior Staff","1994-05-26","9999-01-01"
247998,"Staff","1989-05-26","1994-05-26"
247999,"Staff","1999-05-30","9999-01-01"
248000,"Engineer","1997-07-04","9999-01-01"
248001,"Engineer","1991-04-05","1997-04-04"
248001,"Senior Engineer","1997-04-04","9999-01-01"
248002,"Senior Engineer","1997-06-21","2001-02-14"
248003,"Engineer","1989-04-03","1996-04-02"
248003,"Senior Engineer","1996-04-02","9999-01-01"
248004,"Senior Staff","1992-10-07","9999-01-01"
248005,"Senior Staff","1997-08-25","9999-01-01"
248005,"Staff","1989-08-25","1997-08-25"
248006,"Engineer","1992-04-15","2000-04-15"
248006,"Senior Engineer","2000-04-15","9999-01-01"
248007,"Senior Staff","1994-03-23","9999-01-01"
248007,"Staff","1987-03-23","1994-03-23"
248008,"Senior Engineer","1986-11-11","2001-10-03"
248009,"Senior Staff","1998-09-14","9999-01-01"
248009,"Staff","1989-09-14","1998-09-14"
248010,"Engineer","1996-11-09","9999-01-01"
248011,"Senior Staff","1992-04-27","9999-01-01"
248012,"Engineer","1986-05-01","1994-05-01"
248012,"Senior Engineer","1994-05-01","9999-01-01"
248013,"Senior Staff","1996-07-23","9999-01-01"
248013,"Staff","1988-07-23","1996-07-23"
248014,"Senior Engineer","1998-07-07","9999-01-01"
248015,"Engineer","1992-05-26","1997-09-03"
248016,"Senior Staff","1995-08-27","9999-01-01"
248017,"Staff","1992-10-08","1999-05-24"
248018,"Senior Staff","1994-01-04","9999-01-01"
248018,"Staff","1986-01-04","1994-01-04"
248019,"Senior Staff","2002-02-25","9999-01-01"
248019,"Staff","1994-02-25","2002-02-25"
248020,"Engineer","1997-09-06","9999-01-01"
248021,"Assistant Engineer","1991-09-08","1999-09-08"
248021,"Engineer","1999-09-08","9999-01-01"
248022,"Engineer","1990-11-16","1992-01-28"
248023,"Engineer","1989-12-29","1995-12-29"
248023,"Senior Engineer","1995-12-29","9999-01-01"
248024,"Senior Staff","1994-11-09","9999-01-01"
248025,"Engineer","1996-12-23","9999-01-01"
248026,"Senior Staff","2000-01-13","9999-01-01"
248026,"Staff","1992-01-13","2000-01-13"
248027,"Technique Leader","1986-07-25","1990-05-16"
248028,"Engineer","1999-01-04","9999-01-01"
248029,"Senior Staff","1998-05-31","9999-01-01"
248029,"Staff","1993-05-31","1998-05-31"
248030,"Engineer","1992-06-23","1993-06-15"
248031,"Engineer","1997-01-22","9999-01-01"
248032,"Engineer","1998-08-19","9999-01-01"
248033,"Senior Staff","1999-12-11","2001-12-28"
248033,"Staff","1993-12-11","1999-12-11"
248034,"Engineer","1992-12-17","2001-12-17"
248034,"Senior Engineer","2001-12-17","9999-01-01"
248035,"Engineer","1997-03-22","9999-01-01"
248036,"Senior Staff","2000-07-16","9999-01-01"
248036,"Staff","1992-07-16","2000-07-16"
248037,"Engineer","1988-03-26","1994-03-26"
248037,"Senior Engineer","1994-03-26","9999-01-01"
248038,"Senior Engineer","1995-05-09","9999-01-01"
248039,"Senior Staff","1992-07-28","1996-03-07"
248040,"Senior Staff","1997-09-30","9999-01-01"
248040,"Staff","1992-09-30","1997-09-30"
248041,"Engineer","1992-01-30","2001-01-29"
248041,"Senior Engineer","2001-01-29","9999-01-01"
248042,"Engineer","1992-02-09","1999-02-09"
248042,"Senior Engineer","1999-02-09","9999-01-01"
248043,"Senior Staff","1993-07-15","9999-01-01"
248043,"Staff","1987-07-16","1993-07-15"
248044,"Senior Staff","1999-04-03","9999-01-01"
248044,"Staff","1992-04-02","1999-04-03"
248045,"Senior Engineer","1996-05-25","9999-01-01"
248046,"Senior Staff","2001-12-13","9999-01-01"
248046,"Staff","1993-12-13","2001-12-13"
248047,"Engineer","2000-01-12","9999-01-01"
248048,"Senior Staff","1995-01-24","2000-07-09"
248049,"Engineer","1998-03-27","9999-01-01"
248050,"Senior Staff","1998-06-27","9999-01-01"
248050,"Staff","1989-06-27","1998-06-27"
248051,"Senior Engineer","1993-07-06","9999-01-01"
248052,"Engineer","1986-08-06","1992-08-05"
248052,"Senior Engineer","1992-08-05","9999-01-01"
248053,"Technique Leader","1987-09-30","1990-11-07"
248054,"Senior Staff","1993-10-12","9999-01-01"
248055,"Senior Staff","1996-10-09","9999-01-01"
248055,"Staff","1991-10-10","1996-10-09"
248056,"Engineer","1991-11-24","2000-11-23"
248056,"Senior Engineer","2000-11-23","9999-01-01"
248057,"Engineer","1994-02-18","2002-02-18"
248057,"Senior Engineer","2002-02-18","9999-01-01"
248058,"Senior Staff","2000-07-05","9999-01-01"
248058,"Staff","1992-07-05","2000-07-05"
248059,"Technique Leader","1990-05-31","2000-09-20"
248060,"Engineer","1987-11-13","1994-11-13"
248060,"Senior Engineer","1994-11-13","9999-01-01"
248061,"Engineer","1995-06-02","2001-06-01"
248061,"Senior Engineer","2001-06-01","9999-01-01"
248062,"Senior Engineer","1989-05-21","1993-07-06"
248063,"Technique Leader","1997-08-14","9999-01-01"
248064,"Engineer","1992-10-01","1999-10-02"
248064,"Senior Engineer","1999-10-02","9999-01-01"
248065,"Senior Staff","1999-03-22","9999-01-01"
248065,"Staff","1991-03-22","1999-03-22"
248066,"Engineer","1986-11-23","1991-11-23"
248066,"Senior Engineer","1991-11-23","9999-01-01"
248067,"Senior Staff","1992-10-02","9999-01-01"
248067,"Staff","1985-10-02","1992-10-02"
248068,"Engineer","1992-08-19","1999-07-25"
248069,"Engineer","1994-12-06","2000-12-05"
248069,"Senior Engineer","2000-12-05","9999-01-01"
248070,"Senior Engineer","1999-05-16","9999-01-01"
248071,"Staff","1994-04-20","9999-01-01"
248072,"Staff","1999-09-21","9999-01-01"
248073,"Engineer","1996-04-15","9999-01-01"
248074,"Senior Staff","1996-07-01","9999-01-01"
248074,"Staff","1987-07-02","1996-07-01"
248075,"Engineer","1993-12-10","9999-01-01"
248076,"Senior Engineer","1996-05-09","1997-04-06"
248077,"Staff","1997-11-17","9999-01-01"
248078,"Engineer","1995-03-04","9999-01-01"
248079,"Engineer","1995-10-28","1997-01-27"
248080,"Engineer","1991-07-25","1996-07-24"
248080,"Senior Engineer","1996-07-24","9999-01-01"
248081,"Assistant Engineer","1994-01-03","1999-01-03"
248081,"Engineer","1999-01-03","9999-01-01"
248082,"Engineer","1992-07-24","1999-07-25"
248082,"Senior Engineer","1999-07-25","9999-01-01"
248083,"Technique Leader","1999-08-15","9999-01-01"
248084,"Engineer","1999-01-26","9999-01-01"
248085,"Engineer","1988-03-31","1997-03-31"
248085,"Senior Engineer","1997-03-31","9999-01-01"
248086,"Engineer","1998-10-19","9999-01-01"
248087,"Senior Engineer","1988-09-17","9999-01-01"
248088,"Senior Engineer","1996-03-03","1997-05-12"
248089,"Senior Staff","1996-03-09","9999-01-01"
248090,"Staff","1998-07-06","2001-03-31"
248091,"Engineer","1990-06-22","1996-06-21"
248091,"Senior Engineer","1996-06-21","9999-01-01"
248092,"Senior Staff","1995-11-11","9999-01-01"
248092,"Staff","1987-11-11","1995-11-11"
248093,"Technique Leader","1993-01-16","9999-01-01"
248094,"Staff","1998-09-21","2002-04-06"
248095,"Senior Staff","1996-10-23","9999-01-01"
248095,"Staff","1989-10-23","1996-10-23"
248096,"Engineer","1999-01-25","9999-01-01"
248097,"Engineer","1986-06-01","1993-06-01"
248097,"Senior Engineer","1993-06-01","9999-01-01"
248098,"Technique Leader","1996-05-11","9999-01-01"
248099,"Senior Staff","2002-02-07","9999-01-01"
248099,"Staff","1994-02-07","2002-02-07"
248100,"Senior Staff","1998-05-19","9999-01-01"
248100,"Staff","1990-05-19","1998-05-19"
248101,"Engineer","1997-10-14","9999-01-01"
248102,"Engineer","1996-08-30","2001-08-30"
248102,"Senior Engineer","2001-08-30","9999-01-01"
248103,"Staff","1998-01-14","2001-01-29"
248104,"Senior Staff","1999-02-01","9999-01-01"
248104,"Staff","1994-02-01","1999-02-01"
248105,"Engineer","1997-06-10","9999-01-01"
248106,"Assistant Engineer","1994-04-23","9999-01-01"
248107,"Staff","1997-03-31","9999-01-01"
248108,"Senior Engineer","1997-09-15","2000-09-20"
248109,"Senior Staff","1991-01-13","9999-01-01"
248110,"Engineer","1991-12-07","1996-12-06"
248110,"Senior Engineer","1996-12-06","9999-01-01"
248111,"Engineer","1990-04-26","1996-04-25"
248111,"Senior Engineer","1996-04-25","9999-01-01"
248112,"Technique Leader","1991-04-30","9999-01-01"
248113,"Engineer","1992-05-18","2000-05-18"
248113,"Senior Engineer","2000-05-18","9999-01-01"
248114,"Engineer","1995-02-15","9999-01-01"
248115,"Senior Staff","1994-05-20","9999-01-01"
248115,"Staff","1989-05-20","1994-05-20"
248116,"Staff","1993-05-05","1995-09-28"
248117,"Senior Staff","1998-01-01","9999-01-01"
248117,"Staff","1991-01-01","1998-01-01"
248118,"Staff","1998-08-05","9999-01-01"
248119,"Engineer","1995-07-28","2000-07-27"
248119,"Senior Engineer","2000-07-27","9999-01-01"
248120,"Staff","1996-02-07","9999-01-01"
248121,"Senior Staff","1994-08-15","9999-01-01"
248121,"Staff","1989-08-15","1994-08-15"
248122,"Senior Engineer","1995-05-22","9999-01-01"
248123,"Senior Staff","1986-07-11","9999-01-01"
248124,"Staff","1999-01-05","9999-01-01"
248125,"Senior Engineer","1985-12-09","1993-09-09"
248126,"Staff","1999-07-27","9999-01-01"
248127,"Engineer","1999-06-23","9999-01-01"
248128,"Engineer","1991-06-17","2000-06-16"
248128,"Senior Engineer","2000-06-16","9999-01-01"
248129,"Assistant Engineer","1990-02-07","1995-02-07"
248129,"Engineer","1995-02-07","2000-02-07"
248129,"Senior Engineer","2000-02-07","2001-02-05"
248130,"Senior Staff","1996-08-26","9999-01-01"
248130,"Staff","1987-08-27","1996-08-26"
248131,"Staff","1999-10-17","9999-01-01"
248132,"Engineer","1991-09-08","1996-09-07"
248132,"Senior Engineer","1996-09-07","9999-01-01"
248133,"Technique Leader","1993-10-26","9999-01-01"
248134,"Technique Leader","1985-07-07","9999-01-01"
248135,"Engineer","1991-05-19","1996-05-18"
248135,"Senior Engineer","1996-05-18","9999-01-01"
248136,"Engineer","1990-06-20","1995-06-20"
248136,"Senior Engineer","1995-06-20","1999-04-05"
248137,"Engineer","1989-03-16","1997-03-16"
248137,"Senior Engineer","1997-03-16","9999-01-01"
248138,"Engineer","1995-03-05","2002-03-05"
248138,"Senior Engineer","2002-03-05","9999-01-01"
248139,"Senior Staff","2000-01-02","9999-01-01"
248139,"Staff","1992-01-02","2000-01-02"
248140,"Engineer","1999-12-03","2000-03-26"
248141,"Staff","1985-07-17","1989-09-28"
248142,"Senior Staff","1996-01-12","9999-01-01"
248142,"Staff","1990-01-12","1996-01-12"
248143,"Senior Staff","1996-08-04","9999-01-01"
248143,"Staff","1988-08-04","1996-08-04"
248144,"Engineer","1988-05-17","1994-05-17"
248144,"Senior Engineer","1994-05-17","2000-01-29"
248145,"Assistant Engineer","1999-06-27","9999-01-01"
248146,"Senior Staff","1992-09-14","9999-01-01"
248147,"Engineer","1989-05-11","1997-05-11"
248147,"Senior Engineer","1997-05-11","9999-01-01"
248148,"Engineer","1986-07-03","1994-07-03"
248148,"Senior Engineer","1994-07-03","9999-01-01"
248149,"Senior Staff","1989-08-17","2001-12-08"
248150,"Senior Staff","2000-07-26","9999-01-01"
248150,"Staff","1991-07-27","2000-07-26"
248151,"Assistant Engineer","1996-12-14","1999-09-06"
248152,"Engineer","1993-05-04","1993-08-02"
248153,"Staff","1999-01-21","9999-01-01"
248154,"Assistant Engineer","1990-07-01","1995-07-01"
248154,"Engineer","1995-07-01","2000-06-30"
248154,"Senior Engineer","2000-06-30","9999-01-01"
248155,"Engineer","1994-01-22","1999-01-22"
248155,"Senior Engineer","1999-01-22","9999-01-01"
248156,"Staff","1997-11-24","2001-12-29"
248157,"Technique Leader","1995-03-11","9999-01-01"
248158,"Senior Staff","1999-01-21","9999-01-01"
248158,"Staff","1991-01-21","1999-01-21"
248159,"Engineer","1990-05-07","1996-05-06"
248159,"Senior Engineer","1996-05-06","9999-01-01"
248160,"Engineer","1988-04-07","1996-04-06"
248160,"Senior Engineer","1996-04-06","9999-01-01"
248161,"Engineer","1994-03-31","9999-01-01"
248162,"Engineer","1992-07-27","2001-07-27"
248162,"Senior Engineer","2001-07-27","9999-01-01"
248163,"Technique Leader","1992-05-06","1998-07-13"
248164,"Staff","2000-01-23","2000-01-27"
248165,"Engineer","1993-08-15","9999-01-01"
248166,"Senior Staff","2000-03-05","9999-01-01"
248166,"Staff","1993-03-05","2000-03-05"
248167,"Senior Staff","2000-08-04","2000-12-14"
248167,"Staff","1995-08-05","2000-08-04"
248168,"Senior Staff","2001-01-21","9999-01-01"
248168,"Staff","1995-01-22","2001-01-21"
248169,"Assistant Engineer","1998-11-18","9999-01-01"
248170,"Engineer","1993-10-31","2001-10-30"
248170,"Senior Engineer","2001-10-30","9999-01-01"
248171,"Senior Engineer","1996-04-16","9999-01-01"
248172,"Senior Staff","1993-08-15","9999-01-01"
248173,"Senior Staff","1993-04-06","2001-05-25"
248174,"Staff","1997-10-08","2002-04-12"
248175,"Engineer","1997-12-03","2000-05-22"
248176,"Engineer","1996-04-06","9999-01-01"
248177,"Senior Engineer","1991-05-05","9999-01-01"
248178,"Senior Staff","1998-08-17","9999-01-01"
248178,"Staff","1989-08-17","1998-08-17"
248179,"Senior Staff","1992-05-30","9999-01-01"
248179,"Staff","1986-05-31","1992-05-30"
248180,"Engineer","1985-06-02","1990-06-02"
248180,"Senior Engineer","1990-06-02","9999-01-01"
248181,"Assistant Engineer","1995-01-13","2000-01-13"
248181,"Engineer","2000-01-13","9999-01-01"
248182,"Senior Engineer","1991-10-07","1997-10-15"
248183,"Senior Staff","1993-11-30","9999-01-01"
248183,"Staff","1985-11-30","1993-11-30"
248184,"Senior Engineer","1997-11-16","9999-01-01"
248185,"Engineer","1989-03-11","1995-03-11"
248185,"Senior Engineer","1995-03-11","9999-01-01"
248186,"Engineer","1989-10-28","1994-10-28"
248186,"Senior Engineer","1994-10-28","9999-01-01"
248187,"Senior Staff","1993-11-11","9999-01-01"
248187,"Staff","1985-11-11","1993-11-11"
248188,"Engineer","1996-12-24","9999-01-01"
248189,"Technique Leader","1995-10-08","1996-02-24"
248190,"Engineer","1995-09-12","2001-09-11"
248190,"Senior Engineer","2001-09-11","9999-01-01"
248191,"Senior Staff","1993-08-02","9999-01-01"
248192,"Senior Staff","2000-11-10","9999-01-01"
248192,"Staff","1995-11-11","2000-11-10"
248193,"Senior Staff","2000-02-03","9999-01-01"
248193,"Staff","1995-02-03","2000-02-03"
248194,"Senior Staff","1988-06-15","9999-01-01"
248195,"Assistant Engineer","1990-10-17","1999-10-17"
248195,"Engineer","1999-10-17","9999-01-01"
