emp_no,salary,from_date,to_date
242565,41185,1988-03-03,1989-03-03
242566,51670,1992-11-05,1993-11-05
242567,40000,1989-01-14,1990-01-14
242568,40000,1991-12-17,1992-12-16
242569,61076,1993-05-24,1994-05-24
242570,50267,1989-01-28,1990-01-28
242571,79994,1995-11-28,1996-11-27
242572,40000,1988-01-07,1989-01-06
242573,69162,1985-03-01,1986-03-01
242574,40000,1997-08-12,1998-08-12
242575,44295,1997-02-21,1998-02-21
242576,43772,1988-07-31,1989-07-31
242577,42324,1989-05-31,1990-05-31
242578,72182,1992-12-25,1993-12-25
242579,57567,1996-04-27,1997-04-27
242580,68507,1994-11-11,1995-11-11
242581,40230,1995-09-28,1996-09-27
242582,75251,1987-02-08,1988-02-08
242583,66297,1993-11-04,1994-11-04
242584,82640,1996-07-10,1997-07-10
242585,40000,1987-09-29,1988-09-28
242586,57051,1987-08-29,1988-08-28
242587,60759,1993-10-15,1994-10-15
242588,53427,1988-03-18,1989-03-18
242589,55165,1990-02-27,1991-02-27
242590,74226,1997-05-02,1998-05-02
242591,40000,1997-02-11,1998-02-11
242592,40000,1986-07-03,1987-07-03
242593,91040,1996-09-08,1997-09-08
242594,40000,1999-01-02,2000-01-02
242595,40000,1985-06-17,1986-06-17
242596,69110,1999-12-21,2000-12-20
242597,40000,1995-09-07,1996-09-06
242598,64913,1986-12-30,1987-12-30
242599,64076,1995-02-14,1996-02-14
242600,51092,1996-07-25,1997-07-25
242601,53736,1986-12-23,1987-12-23
242602,41751,1996-01-22,1997-01-21
242603,43053,1986-04-18,1987-04-18
242604,66732,1997-10-04,1998-10-04
242605,48180,1991-09-01,1992-08-31
242606,60136,1987-09-05,1988-09-04
242607,59001,1993-01-22,1994-01-22
242608,71044,1998-03-19,1999-03-19
242609,40000,1998-01-14,1998-09-30
242610,56991,1992-06-30,1993-06-30
242611,70053,1995-08-25,1996-08-24
242612,66781,1992-11-01,1993-11-01
242613,52688,1995-10-05,1996-10-04
242614,55329,1993-07-02,1994-07-02
242615,40000,1987-02-23,1988-02-23
242616,45699,1995-01-30,1996-01-30
242617,63774,1992-01-24,1993-01-23
242618,58814,1996-08-27,1997-08-27
242619,44881,1988-02-01,1989-01-31
242620,52754,1991-06-06,1992-06-05
242621,40000,1987-12-20,1988-12-19
242622,65788,1989-03-25,1990-03-25
242623,60561,1993-06-10,1994-06-10
242624,56767,1996-09-18,1997-09-18
242625,40000,1989-06-11,1990-06-11
242626,64505,1985-12-25,1986-12-25
242627,40000,1998-01-15,1999-01-15
242628,65785,1988-10-18,1989-10-18
242629,40000,1998-01-25,1999-01-25
242630,56906,1994-09-26,1995-09-26
242631,74896,1992-11-19,1993-11-19
242632,52636,1993-09-29,1994-09-29
242633,40000,1987-12-15,1988-12-14
242634,41995,1995-08-13,1996-08-12
242635,53286,1996-07-19,1997-07-19
242636,45978,1999-03-25,2000-03-24
242637,44147,1995-08-02,1996-08-01
242638,51120,1992-05-05,1993-05-05
242639,51572,1987-10-07,1988-10-06
242640,43950,1989-05-31,1990-05-31
242641,63614,1996-10-21,1997-10-21
242642,54192,1994-08-11,1995-08-11
242643,40000,1997-03-03,1998-03-03
242644,40000,1998-11-02,1999-11-02
242645,40000,1990-05-17,1991-05-17
242646,46724,1997-06-12,1998-06-12
242647,59152,1993-07-11,1994-07-11
242648,40000,1996-04-20,1997-04-20
242649,60528,1995-05-28,1996-05-27
242650,96843,1991-12-12,1992-12-11
242651,59322,1991-11-11,1992-11-10
242652,40917,1991-10-19,1992-10-18
242653,40000,1990-06-24,1991-06-24
242654,40000,1996-06-02,1997-06-02
242655,42113,1988-08-09,1989-08-09
242656,40000,1985-09-11,1986-09-11
242657,45583,1990-06-17,1991-06-17
242658,42927,1993-04-22,1994-04-22
242659,40517,1996-05-10,1997-05-10
242660,48846,1994-06-14,1995-06-14
242661,40000,1992-10-23,1993-10-23
242662,47055,1989-09-10,1990-09-10
242663,40000,1998-09-07,1999-09-07
242664,40000,1990-12-06,1991-12-06
242665,40000,1988-10-12,1989-10-12
242666,53191,1988-05-09,1989-05-09
242667,87300,1993-05-19,1994-05-19
242668,47203,1990-05-19,1991-05-19
242669,40000,1990-11-12,1991-11-12
242670,40000,1991-07-31,1992-07-30
242671,40000,1985-08-08,1986-08-08
242672,82098,1999-09-10,2000-09-09
242673,42743,1991-11-25,1992-11-24
242674,40000,1986-12-02,1987-12-02
242675,62399,1985-09-11,1986-09-11
242676,76716,1988-05-16,1989-05-16
242677,54783,1987-06-11,1988-06-10
242678,59693,1992-02-21,1993-02-20
242679,85443,1994-10-10,1995-10-10
242680,40000,1994-01-20,1995-01-20
242681,40000,1987-05-10,1988-05-09
242682,45574,1991-05-08,1992-05-07
242683,49143,1999-11-05,2000-11-04
242684,67163,1988-12-03,1989-12-03
242685,40000,1989-02-27,1990-02-27
242686,75904,1995-03-29,1996-03-28
242687,72027,1998-11-11,1999-11-11
242688,40000,1990-10-11,1991-10-11
242689,60262,1990-04-09,1991-04-09
242690,63894,1990-12-06,1991-12-06
242691,66992,1990-02-02,1991-02-02
242692,55557,1998-08-23,1999-08-23
242693,42795,1993-03-12,1994-03-12
242694,86858,1995-07-19,1996-07-18
242695,59078,1989-01-29,1990-01-29
242696,44001,1998-02-18,1999-02-18
242697,104466,1997-08-08,1998-08-08
242698,55216,1993-02-23,1994-02-23
242699,49130,1985-11-16,1986-11-16
242700,62386,1995-09-29,1996-09-28
242701,68916,1995-07-16,1996-07-15
242702,40000,1986-02-10,1987-02-10
242703,52275,1999-04-24,2000-04-23
242704,64192,1989-04-11,1990-04-11
242705,78438,1991-02-10,1992-02-10
242706,40000,1990-03-05,1991-03-05
242707,71335,1989-11-08,1990-11-08
242708,40000,1993-07-01,1994-07-01
242709,60002,1993-09-09,1994-09-09
242710,66538,1986-11-13,1987-11-13
242711,71079,1992-01-04,1993-01-03
242712,55021,1995-12-04,1996-12-03
242713,54636,1994-01-03,1995-01-03
242714,71415,1987-11-07,1988-11-06
242715,40000,1992-04-14,1993-04-14
242716,41718,1992-04-12,1993-04-12
242717,41670,1990-08-15,1991-08-15
242718,40000,1998-01-21,1999-01-21
242719,54572,1988-06-22,1989-06-22
242720,48858,1994-11-19,1995-11-19
242721,61335,1994-10-25,1995-10-25
242722,40000,1988-02-01,1989-01-31
242723,40000,1991-05-10,1992-05-09
242724,40000,1989-08-17,1990-08-17
242725,67588,1995-05-27,1996-05-26
242726,46363,1996-07-13,1997-07-13
242727,40000,1990-01-11,1991-01-11
242728,40000,1998-09-06,1999-09-06
242729,74342,1990-11-04,1991-11-04
242730,40000,1999-05-19,2000-05-18
242731,49080,1987-09-15,1988-09-14
242732,57772,1996-06-09,1997-06-09
242733,40000,1989-10-13,1990-10-13
242734,80248,1991-05-25,1992-05-24
242735,69118,1990-03-09,1991-03-09
242736,66022,1985-04-22,1986-04-22
242737,41671,1987-05-17,1988-05-16
242738,70711,1988-12-19,1989-12-19
242739,62046,1985-03-29,1986-03-29
242740,40000,1996-03-25,1997-03-25
242741,83978,1998-09-20,1999-09-20
242742,40000,1994-05-20,1995-05-20
242743,56436,1991-10-13,1992-10-12
242744,69641,1995-11-08,1996-11-07
242745,42204,1987-06-13,1988-06-12
242746,58144,1993-09-19,1994-09-19
242747,40000,1989-01-03,1990-01-03
242748,65229,1998-01-17,1999-01-17
242749,55680,1986-07-25,1987-07-25
242750,40000,1989-01-29,1990-01-29
242751,58492,1991-09-28,1992-09-27
242752,69170,1997-08-06,1998-08-06
242753,59373,1995-10-30,1996-10-29
242754,78924,1995-10-26,1996-10-25
242755,48717,1994-09-11,1995-09-11
242756,59295,1992-06-20,1993-06-20
242757,62318,1994-05-19,1995-05-19
242758,69626,1986-09-22,1987-09-22
242759,51601,1989-11-18,1990-11-18
242760,40000,1998-09-19,1999-09-19
242761,40000,1989-07-13,1990-07-13
242762,40000,1997-11-28,1998-11-28
242763,53198,1998-01-19,1999-01-19
242764,43629,1998-11-09,1999-11-09
242765,81837,1992-09-21,1993-09-21
242766,44232,1990-04-17,1991-04-17
242767,40000,1991-12-22,1992-12-21
242768,40000,1989-10-01,1990-10-01
242769,52677,1991-01-05,1992-01-05
242770,64882,1986-02-20,1987-02-20
242771,40000,1996-04-15,1997-04-15
242772,66741,1990-09-11,1991-09-11
242773,47666,1992-09-27,1993-09-27
242774,65621,1992-01-27,1993-01-26
242775,79235,1995-12-01,1996-11-30
242776,49767,1995-07-03,1996-07-02
242777,49514,1993-12-05,1994-12-05
242778,96834,1998-05-05,1999-05-05
242779,50870,1987-03-27,1988-03-26
242780,51409,1999-09-10,2000-09-09
242781,79424,1987-06-03,1988-06-02
242782,54662,1998-12-08,1999-12-08
242783,55315,1998-10-12,1999-10-12
242784,51801,1999-12-15,2000-12-14
242785,62998,1989-12-28,1990-12-28
242786,41301,1993-04-21,1994-04-21
242787,40000,1990-11-05,1991-11-05
242788,58198,1998-01-27,1999-01-27
242789,40000,1988-06-18,1989-06-18
242790,51664,1993-01-11,1994-01-11
242791,40000,1991-02-04,1992-02-04
242792,73745,1990-06-13,1991-06-13
242793,49215,1989-05-22,1990-05-22
242794,40175,1985-10-24,1986-10-24
242795,66854,1986-04-28,1987-04-28
242796,52480,1987-02-20,1988-02-20
242797,42097,1992-12-24,1993-12-24
242798,43531,1994-07-14,1995-07-14
242799,46877,1998-07-22,1999-07-22
242800,46401,1996-02-10,1997-02-09
242801,40000,1990-10-15,1991-10-15
242802,75262,1985-12-13,1986-12-13
242803,40000,1991-11-27,1992-11-26
242804,68695,1989-01-09,1990-01-09
242805,40000,1988-01-19,1988-10-15
242806,43151,1991-10-25,1992-10-24
242807,40000,1995-02-11,1996-02-11
242808,62822,1999-05-15,2000-05-14
242809,40000,1995-11-05,1996-11-04
242810,48818,1989-11-08,1990-11-08
242811,40000,1993-02-24,1994-02-24
242812,45144,1987-05-03,1988-05-02
242813,74354,1999-10-28,2000-10-27
242814,69598,1988-01-06,1989-01-05
242815,40018,1995-01-30,1996-01-30
242816,40000,1993-01-08,1993-05-04
242817,57945,1986-10-29,1987-10-29
242818,40000,1987-11-17,1988-11-16
242819,48708,1999-03-25,2000-03-24
242820,73485,1985-12-23,1986-12-23
242821,92594,1987-09-26,1988-09-25
242822,59196,1996-12-15,1997-12-15
242823,62912,1990-09-12,1991-09-12
242824,44794,1994-02-20,1995-02-20
242825,67485,1999-09-01,2000-08-31
242826,40000,1989-11-10,1990-11-10
242827,74677,1985-07-26,1986-07-26
242828,40000,1999-05-21,2000-03-08
242829,47847,1987-12-23,1988-12-22
242830,49182,1989-12-02,1990-12-02
242831,40000,1990-05-06,1991-05-06
242832,42450,1994-11-02,1995-11-02
242833,58597,1993-08-23,1994-08-23
242834,49772,1996-01-01,1996-12-31
242835,59906,1994-11-07,1995-11-07
242836,40000,1986-01-09,1987-01-09
242837,72477,1999-04-14,2000-04-13
242838,45744,1993-08-17,1994-08-17
242839,80782,1996-04-21,1997-04-21
242840,40000,1998-09-03,1999-02-16
242841,68379,1987-06-11,1988-06-10
242842,40000,1995-06-23,1996-06-22
242843,61050,1997-03-24,1998-03-24
242844,40000,1995-10-23,1996-10-22
242845,59403,1992-09-30,1993-09-30
242846,49465,1988-07-06,1989-07-06
242847,40000,1989-10-11,1990-10-11
242848,40596,1995-03-10,1996-03-09
242849,73618,1990-05-02,1991-05-02
242850,40211,1988-10-26,1989-10-26
242851,46003,1999-03-21,2000-03-20
242852,66822,1995-11-08,1996-11-07
242853,40000,1996-02-18,1997-02-17
242854,55531,1995-02-18,1996-02-18
242855,74470,1994-07-16,1995-07-16
242856,53919,1998-11-12,1999-11-12
242857,40000,1995-09-20,1995-09-24
242858,72644,1988-10-03,1989-10-03
242859,87938,1994-09-07,1995-09-07
242860,88324,1997-08-19,1998-08-19
242861,53761,1996-12-23,1997-12-23
242862,75500,1990-04-08,1991-04-08
242863,55529,1994-06-14,1995-06-14
242864,75436,1997-07-13,1998-07-13
242865,52317,1993-03-29,1994-03-29
242866,51997,1987-11-27,1988-11-26
242867,40133,1999-11-10,2000-04-14
242868,52098,1987-07-26,1988-07-25
242869,46635,1997-05-29,1998-05-29
242870,40145,1988-01-23,1989-01-22
242871,53388,1993-09-26,1994-09-26
242872,87917,1988-12-21,1989-12-21
242873,40000,1989-04-09,1990-04-09
242874,62469,1990-08-17,1991-08-17
242875,40123,1998-04-13,1998-12-24
242876,70175,1991-07-13,1992-07-12
242877,40000,1987-06-16,1988-06-15
242878,48718,1995-04-15,1996-04-14
242879,40000,1987-09-08,1988-09-07
242880,74062,1988-03-28,1989-03-28
242881,40000,1999-05-28,2000-05-27
242882,40000,1999-12-03,2000-04-11
242883,52490,1985-02-20,1986-02-20
242884,96320,1992-10-22,1993-10-22
242885,78744,1997-04-29,1998-04-29
242886,40004,1988-07-25,1989-07-25
242887,40638,1990-03-27,1991-03-27
242888,53557,1996-12-31,1997-12-31
242889,50444,1995-05-04,1996-04-25
242890,51519,1989-02-07,1990-02-07
242891,55038,1989-05-14,1990-05-14
242892,49302,1996-07-25,1997-07-25
242893,46940,1987-11-29,1988-11-28
242894,50153,1990-02-08,1991-02-08
242895,40000,1998-08-06,1999-08-06
242896,63912,1989-11-12,1990-11-12
242897,46941,1987-03-26,1988-03-25
242898,40000,1996-09-11,1997-09-11
242899,52832,1985-07-14,1986-07-14
242900,40000,1997-09-30,1998-09-30
242901,40000,1987-06-13,1988-06-12
242902,41773,1992-04-29,1993-04-29
242903,48888,1988-10-30,1989-10-29
242904,59697,1991-07-10,1992-07-09
242905,47152,1991-05-23,1992-05-22
242906,67817,1991-10-15,1992-10-14
242907,41911,1986-04-20,1987-04-20
242908,49912,1988-01-22,1989-01-21
242909,52887,1986-03-02,1987-03-02
242910,40000,1995-05-30,1996-05-29
242911,40000,1995-02-02,1996-02-02
242912,57288,1992-02-28,1993-02-27
242913,58575,1996-12-12,1997-12-12
242914,84839,1985-10-07,1986-10-07
242915,48789,1995-01-07,1996-01-07
242916,40000,1991-05-28,1992-05-27
242917,43760,1989-04-27,1990-04-27
242918,82436,1990-08-25,1991-08-25
242919,58093,1998-11-29,1999-11-29
242920,49707,1992-06-23,1993-06-23
242921,41297,1988-11-06,1989-11-06
242922,88591,1985-02-26,1986-02-26
242923,40000,1996-10-13,1997-10-13
242924,98891,1985-12-22,1986-12-22
242925,59506,1987-11-23,1988-11-22
242926,54219,1996-02-20,1997-02-19
242927,40000,1988-10-07,1989-10-07
242928,44532,1993-04-10,1994-04-10
242929,40000,1998-04-07,1999-04-07
242930,66682,1999-01-04,2000-01-04
242931,47516,1989-12-17,1990-12-17
242932,41568,1994-10-17,1995-10-17
242933,58451,1999-12-23,2000-12-22
242934,40000,1985-03-13,1986-03-13
242935,71145,1998-10-12,1999-10-12
242936,41132,1988-06-03,1989-06-03
242937,40000,1990-05-04,1991-05-04
242938,40000,1988-02-06,1989-02-05
242939,51212,1988-12-30,1989-12-30
242940,43113,1985-06-19,1986-06-19
242941,48251,1994-06-28,1995-06-28
242942,41867,1986-07-06,1987-07-06
242943,40000,1999-04-14,2000-04-13
242944,41628,1993-09-11,1994-09-11
242945,63056,1987-10-22,1988-10-21
242946,40000,1991-10-09,1992-10-08
242947,40000,1993-02-06,1994-02-06
242948,56230,1988-06-09,1989-06-09
242949,40000,1992-10-27,1993-10-27
242950,46805,1993-12-05,1994-12-05
242951,40000,1995-08-31,1996-08-30
242952,40000,1997-10-08,1998-10-08
242953,40000,1992-12-03,1993-12-03
242954,74379,1997-04-12,1998-04-12
242955,57296,1994-01-12,1995-01-12
242956,40578,1991-12-22,1992-12-21
242957,45546,1987-07-27,1988-07-26
242958,65996,1987-06-08,1988-06-07
242959,65857,1990-08-20,1991-08-20
242960,40000,1995-05-22,1996-05-21
242961,40000,1993-10-09,1994-10-09
242962,42579,1990-01-02,1991-01-02
242963,93468,1995-02-05,1996-02-05
242964,40000,1985-09-14,1986-09-14
242965,51248,1996-05-14,1997-05-14
242966,40000,1995-08-17,1996-08-16
242967,74754,1993-11-24,1994-11-24
242968,40656,1996-06-19,1997-06-19
242969,40000,1999-10-30,2000-10-29
242970,40000,1996-09-20,1997-09-20
242971,64334,1987-02-23,1988-02-23
242972,54798,1988-05-31,1989-02-26
242973,61634,1987-08-05,1988-08-04
242974,40000,1998-10-31,1999-10-31
242975,40000,1996-11-08,1997-11-08
242976,40000,1998-08-29,1999-08-29
242977,40000,1995-05-17,1996-05-16
242978,41336,1997-12-25,1998-12-25
242979,43114,1996-02-06,1997-02-05
242980,42900,1989-06-20,1990-06-20
242981,65489,1988-05-12,1989-05-12
242982,59164,1985-08-16,1986-08-16
242983,40000,1998-10-17,1999-10-17
242984,71468,1989-08-27,1990-08-27
242985,80849,1988-03-06,1989-03-06
242986,40000,1994-03-16,1995-03-16
242987,42457,1990-04-28,1991-04-28
242988,76824,1991-12-24,1992-12-23
242989,63722,1999-02-12,2000-02-12
242990,79446,1999-05-16,2000-05-15
242991,40000,1994-09-15,1995-09-15
242992,74869,1989-03-22,1990-03-22
242993,70425,1989-06-24,1990-06-24
242994,52898,1989-01-02,1990-01-02
242995,40000,1994-11-28,1995-11-28
242996,72139,1989-08-29,1990-08-29
242997,89412,1987-10-09,1988-10-08
242998,46645,1985-02-25,1986-02-25
242999,43784,1988-09-16,1989-09-16
243000,52868,1994-10-12,1995-10-12
243001,40000,1990-03-18,1991-03-18
243002,92181,1986-12-09,1987-12-09
243003,80939,1998-08-20,1999-08-20
243004,40000,1997-12-30,1998-12-30
243005,56289,1985-02-20,1986-02-20
243006,40000,1986-01-28,1987-01-28
243007,62412,1995-09-19,1996-09-18
243008,48520,1997-12-29,1998-12-29
243009,53018,1987-01-09,1988-01-09
243010,40000,1986-08-19,1987-08-19
243011,75362,1993-03-10,1994-03-10
243012,64068,1994-02-04,1994-06-05
243013,46032,1992-02-24,1993-02-23
243014,48145,1996-11-15,1997-11-15
243015,40000,1997-10-09,1998-10-09
243016,49298,1988-09-10,1989-09-10
243017,77805,1995-07-02,1996-07-01
243018,62716,1998-12-27,1999-12-27
243019,51735,1992-12-04,1993-12-04
243020,40000,1998-05-30,1999-05-30
243021,64360,1998-02-02,1999-02-02
243022,42715,1986-05-13,1987-05-13
243023,56448,1990-03-31,1991-03-31
243024,102385,1986-02-06,1987-02-06
243025,63447,1991-09-03,1992-09-02
243026,57886,1988-12-15,1989-12-15
243027,40000,1992-03-25,1993-03-25
243028,65063,1995-03-11,1996-03-10
243029,69477,1992-11-10,1993-11-10
243030,71285,1989-01-12,1990-01-12
243031,40289,1986-10-24,1987-10-24
243032,47262,1991-03-08,1992-03-07
243033,40000,1996-09-04,1997-09-04
243034,51813,1988-01-06,1989-01-05
243035,40343,1986-04-16,1987-04-16
243036,40000,1992-04-29,1993-04-29
243037,43580,1994-12-13,1995-12-13
243038,59253,1989-12-18,1990-11-04
243039,89049,1990-11-23,1991-11-23
243040,40000,1997-08-02,1998-08-02
243041,57441,1998-03-21,1999-03-21
243042,41940,1998-05-28,1999-05-28
243043,77824,1989-10-12,1990-10-12
243044,52250,1999-12-27,2000-12-26
243045,71494,1985-09-09,1986-09-09
243046,40000,1990-10-10,1991-10-10
243047,73478,1989-12-19,1990-12-19
243048,78459,1992-06-29,1993-06-29
243049,40000,1991-02-19,1992-02-19
243050,70751,1988-10-03,1989-10-03
243051,62272,1991-11-11,1992-11-10
243052,71138,1996-03-01,1997-03-01
243053,40000,1988-12-13,1989-12-13
243054,56021,1988-04-10,1989-04-10
243055,49657,1987-12-06,1988-12-05
243056,57994,1987-05-09,1988-05-08
243057,40000,1988-03-26,1989-03-26
243058,46763,1999-07-26,2000-07-25
243059,62018,1999-06-02,2000-06-01
243060,40000,1996-01-19,1997-01-18
243061,57598,1999-04-25,2000-04-24
243062,75456,1991-02-14,1992-02-14
243063,40000,1989-06-20,1990-06-20
243064,57995,1987-04-24,1988-04-23
243065,47711,1991-03-28,1992-03-27
243066,40000,1990-10-22,1991-10-22
243067,40000,1994-06-07,1995-06-07
243068,76251,1985-11-20,1986-11-20
243069,40000,1990-06-13,1991-06-13
243070,53205,1993-07-26,1994-07-26
243071,49297,1989-01-25,1990-01-25
243072,56072,1991-10-24,1992-10-23
243073,66378,1990-06-13,1991-06-13
243074,40000,1997-07-09,1998-07-09
243075,66065,1995-01-04,1996-01-04
243076,40000,1995-08-31,1996-08-30
243077,54935,1999-02-25,2000-02-25
243078,81963,1994-02-07,1995-02-07
243079,40000,1991-02-12,1992-02-12
243080,40000,1987-09-11,1988-09-10
243081,76637,1990-07-08,1991-07-08
243082,49302,1993-03-06,1994-03-06
243083,40000,1993-05-06,1994-05-06
243084,45238,1988-10-30,1989-10-29
243085,62132,1999-05-15,2000-05-14
243086,72244,1985-08-24,1986-08-24
243087,60823,1986-04-05,1987-04-05
243088,41687,1989-09-27,1990-09-27
243089,81929,1988-05-27,1988-11-14
243090,40642,1989-03-28,1990-03-28
243091,46447,1997-09-15,1998-09-15
243092,76860,1985-11-25,1986-11-25
243093,53934,1989-01-25,1990-01-25
243094,40000,1997-07-09,1998-07-09
243095,62284,1992-12-12,1993-12-12
243096,40000,1992-06-29,1993-06-29
243097,47419,1998-05-24,1999-05-24
243098,40000,1988-02-11,1989-02-10
243099,40000,1989-03-22,1990-03-22
243100,65527,1987-08-12,1988-08-11
243101,76490,1996-10-26,1997-10-26
243102,49536,1988-05-19,1989-05-19
243103,45225,1991-11-08,1992-11-07
243104,90681,1985-11-10,1986-11-10
243105,45889,1997-10-30,1998-10-30
243106,63127,1995-06-26,1996-06-25
243107,60970,1998-01-02,1999-01-02
243108,45499,1987-01-05,1988-01-05
243109,55539,1988-06-24,1989-06-24
243110,42429,1992-11-15,1993-11-15
243111,42865,1989-07-23,1990-07-23
243112,40000,1995-09-20,1996-09-19
243113,51215,1985-11-07,1986-11-07
243114,74322,1986-09-16,1987-09-16
243115,40000,1996-12-23,1997-12-23
243116,73464,1988-08-23,1989-08-23
243117,73093,1988-04-13,1989-04-13
243118,40000,1998-08-22,1999-08-22
243119,48388,1986-09-22,1987-09-22
243120,40000,1994-08-21,1995-08-21
243121,80599,1991-04-17,1992-04-16
243122,40000,1995-09-27,1996-09-26
243123,40969,1990-05-13,1991-05-13
243124,68546,1986-09-07,1987-09-07
243125,40000,1997-04-16,1998-04-16
243126,72446,1993-12-16,1994-12-16
243127,40540,1989-08-22,1990-08-22
243128,53946,1996-05-18,1997-05-18
243129,73853,1989-08-20,1989-09-19
243130,50584,1988-10-14,1989-10-14
243131,91441,1987-09-09,1988-09-08
243132,54173,1992-09-22,1993-09-22
243133,59340,1985-12-14,1986-12-14
243134,40000,1985-02-25,1986-02-25
243135,79017,1997-10-31,1998-10-31
243136,59698,1991-10-14,1992-10-13
243137,42381,1992-07-18,1993-07-18
243138,53078,1998-09-01,1999-09-01
243139,52381,1992-11-17,1993-11-17
243140,66293,1997-07-31,1998-07-31
243141,40000,1986-04-02,1987-04-02
243142,80961,1996-07-28,1997-07-28
243143,48066,1994-03-10,1995-03-10
243144,68658,1987-04-12,1988-04-11
243145,68470,1992-06-11,1993-06-11
243146,64992,1994-07-24,1995-07-24
243147,42856,1991-09-10,1992-09-09
243148,40000,1995-03-23,1996-03-22
243149,40000,1997-09-10,1998-09-10
243150,63819,1994-09-25,1995-09-25
243151,40000,1997-09-15,1998-01-20
243152,67280,1990-12-26,1991-12-26
243153,56956,1988-03-03,1989-03-03
243154,64626,1985-08-10,1986-08-10
243155,56835,1999-07-16,2000-07-15
243156,40000,1990-10-20,1991-10-20
243157,74589,1995-02-16,1996-02-16
243158,40000,1996-12-06,1997-12-06
243159,40000,1987-11-22,1988-11-21
243160,40000,1990-04-18,1991-04-18
243161,59241,1991-08-13,1992-08-12
243162,44404,1990-08-01,1991-08-01
243163,74535,1995-07-30,1996-07-29
243164,43743,1993-05-08,1994-05-08
243165,54298,1985-02-08,1986-02-08
243166,40000,1998-06-15,1999-06-15
243167,60313,1993-05-12,1994-05-12
243168,67061,1998-04-28,1999-04-28
243169,60333,1993-12-12,1994-12-12
243170,41443,1989-07-31,1990-07-31
243171,56389,1992-06-30,1993-06-30
243172,76493,1997-08-07,1998-08-07
243173,47791,1986-04-21,1987-04-21
243174,40000,1986-03-07,1986-08-31
243175,55151,1996-03-15,1997-03-15
243176,40000,1995-08-08,1996-08-07
243177,59592,1993-10-17,1994-10-17
243178,69073,1992-06-09,1993-06-09
243179,46129,1985-06-06,1986-06-06
243180,58536,1993-01-09,1994-01-09
243181,40000,1993-03-23,1994-03-23
243182,44350,1995-03-04,1996-03-03
243183,69636,1997-02-25,1998-02-25
243184,71906,1986-12-14,1987-12-14
243185,40000,1998-06-20,1999-06-20
243186,52484,1987-05-03,1988-05-02
243187,56081,1991-12-06,1992-12-05
243188,43951,1997-01-03,1998-01-03
243189,56432,1986-03-12,1987-03-12
243190,40000,1988-08-05,1989-08-05
243191,59440,1990-08-11,1991-08-11
243192,53706,1992-05-17,1993-05-17
243193,57213,1988-02-17,1989-02-16
243194,46027,1986-10-09,1987-10-09
243195,58944,1993-11-26,1994-11-26
243196,49014,1992-10-29,1993-10-29
243197,61560,1994-05-03,1995-05-03
243198,60278,1990-01-02,1991-01-02
243199,57564,1992-01-29,1993-01-28
243200,77787,1989-06-11,1990-06-11
243201,44912,1986-06-29,1987-06-29
243202,63692,1986-12-03,1987-12-03
243203,40000,1985-12-19,1986-12-19
243204,52275,1986-10-05,1987-10-05
243205,84053,1997-02-01,1997-11-06
243206,53988,1985-12-04,1986-12-04
243207,45374,1994-07-24,1995-07-24
243208,40000,1993-06-13,1994-06-13
243209,61955,1995-06-03,1996-06-02
243210,53079,1990-01-08,1991-01-08
243211,63375,1993-08-09,1994-01-16
243212,57785,1997-07-20,1998-07-20
243213,64721,1993-06-01,1994-06-01
243214,49407,1990-03-04,1991-03-04
243215,68901,1988-12-22,1989-12-22
243216,40000,1985-05-20,1986-05-20
243217,46902,1989-07-24,1990-07-24
243218,40000,1988-04-12,1989-04-12
243219,50367,1988-02-19,1989-02-18
243220,40000,1990-01-25,1991-01-25
243221,40000,1986-10-23,1987-10-23
243222,49238,1990-05-22,1991-05-22
243223,49625,1992-08-09,1993-08-09
243224,47339,1986-06-11,1987-06-11
243225,54968,1990-10-25,1991-10-25
243226,44024,1991-07-01,1992-06-30
243227,71980,1989-04-11,1990-04-11
243228,82354,1993-10-26,1994-10-26
243229,76400,1997-09-07,1998-09-07
243230,67013,1995-10-04,1996-10-03
243231,68453,1988-03-15,1989-03-15
243232,40000,1996-08-28,1997-08-28
243233,84409,1991-05-09,1992-05-08
243234,40000,1989-05-17,1990-05-17
243235,48959,1989-11-28,1990-11-28
243236,63592,1990-09-27,1991-09-27
243237,40000,1993-10-16,1994-10-16
243238,65965,1988-10-23,1989-10-23
243239,40000,1995-03-16,1996-03-15
243240,52284,1998-11-07,1999-11-07
243241,78985,1992-06-11,1993-06-11
243242,59971,1998-03-11,1999-03-11
243243,60683,1986-04-16,1987-04-16
243244,40000,1985-05-01,1986-05-01
243245,40000,1992-10-14,1993-10-14
243246,69087,1992-11-13,1993-11-13
243247,40000,1988-03-20,1989-03-20
243248,40000,1992-12-23,1993-12-23
243249,52694,1995-04-13,1996-04-12
243250,40524,1985-05-04,1986-05-04
243251,52122,1995-10-15,1996-10-14
243252,40000,1999-02-20,2000-02-20
243253,50173,1994-12-28,1995-12-28
243254,40000,1990-06-09,1991-06-09
243255,40000,1996-09-15,1997-09-15
243256,40000,1999-08-11,2000-08-10
243257,51709,1993-08-11,1994-08-11
243258,45910,1993-11-18,1994-11-18
243259,53767,1992-12-15,1993-12-15
243260,62284,1990-02-23,1991-02-23
243261,52091,1993-02-01,1994-02-01
243262,66696,1986-09-14,1987-09-14
243263,44422,1988-08-01,1989-08-01
